"","I","payoffTotal_I","volatilityAverage_I","V4","J","payoffTotal_J","volatilityAverage_J","V8","JM","payoffTotal_JM","volatilityAverage_JM","V12","SF","payoffTotal_SF","volatilityAverage_SF","V16","SM","payoffTotal_SM","volatilityAverage_SM","V20","ZC","payoffTotal_ZC","volatilityAverage_ZC","V24","SN","payoffTotal_SN","volatilityAverage_SN","V28","SR","payoffTotal_SR","volatilityAverage_SR","V32","JD","payoffTotal_JD","volatilityAverage_JD","V36","CF","payoffTotal_CF","volatilityAverage_CF","V40","C","payoffTotal_C","volatilityAverage_C","V44","CS","payoffTotal_CS","volatilityAverage_CS","V48","OI","payoffTotal_OI","volatilityAverage_OI","V52","Y","payoffTotal_Y","volatilityAverage_Y","V56","P","payoffTotal_P","volatilityAverage_P","V60","A","payoffTotal_A","volatilityAverage_A","V64","M","payoffTotal_M","volatilityAverage_M","V68","RM","payoffTotal_RM","volatilityAverage_RM","V72","RU","payoffTotal_RU","volatilityAverage_RU","V76","L","payoffTotal_L","volatilityAverage_L","V80","TA","payoffTotal_TA","volatilityAverage_TA","V84","PP","payoffTotal_PP","volatilityAverage_PP","V88","V","payoffTotal_V","volatilityAverage_V","V92","FU","payoffTotal_FU","volatilityAverage_FU","V96","FG","payoffTotal_FG","volatilityAverage_FG","V100","MA","payoffTotal_MA","volatilityAverage_MA","V104","RB","payoffTotal_RB","volatilityAverage_RB","V108","HC","payoffTotal_HC","volatilityAverage_HC","V112","AP","payoffTotal_AP","volatilityAverage_AP","V116","AG","payoffTotal_AG","volatilityAverage_AG","V120","AU","payoffTotal_AU","volatilityAverage_AU","V124","BU","payoffTotal_BU","volatilityAverage_BU","V128","AL","payoffTotal_AL","volatilityAverage_AL","V132","CU","payoffTotal_CU","volatilityAverage_CU","V136","NI","payoffTotal_NI","volatilityAverage_NI","V140","PB","payoffTotal_PB","volatilityAverage_PB","V144","ZN","payoffTotal_ZN","volatilityAverage_ZN","V148"
"1","sig*2",-241022080.482577,0.641774787634062,"","11:30",-232887068.473296,0.318665605130763,"","14:00",-220404925.175911,0.306665244070693,"","14:00",-142367076.769201,0.211025584274894,"","09:30",-162329455.558397,0.232612572526125,"","14:30",-137905179.25726,0.184984071823597,"","09:00",-76523588.7121044,0.111338420291973,"","22:00",-78360413.5126954,0.108207436235625,"","sig*2",-118055437.703742,0.314232048606496,"","23:30",-99554059.3768802,0.144451886639821,"","14:00",-73242356.3613574,0.0998244128221768,"","14:30",-86447437.998669,0.11637533595479,"","23:00",-90976938.9343956,0.126429333686083,"","23:00",-84515181.0381498,0.116003075272805,"","22:30",-99928363.6935187,0.140337562349936,"","23:00",-91149153.8260908,0.122301283949001,"","23:00",-111675777.571652,0.153618704767758,"","sig*1.5",-128178514.150736,0.290834269526349,"","sig*2",-189161129.392543,0.541135700770142,"","13:33",-119161473.900161,0.163412546119716,"","23:00",-126810299.835154,0.175630244176388,"","14:30",-130775337.63826,0.185866719532815,"","11:00",-149018672.026694,0.201933086054841,"","13:33",-119161473.900161,0.163412546119716,"","23:00",-133830826.455998,0.177313339655636,"","09:30",-171277352.175519,0.239837977510068,"","14:00",-181648209.008262,0.251520726075548,"","22:30",-171590601.982276,0.237600876635527,"","sig*1",-79060975.9839425,0.27278195320315,"","sig*2",-82681077.8233098,0.257204669475054,"","10:00",-57444763.1669219,0.0781399142037434,"","10:33",-189746654.731815,0.25341286949332,"","22:30",-171590601.982276,0.237600876635527,"","22:30",-171590601.982276,0.237600876635527,"","sig*2",-82681077.8233098,0.257204669475054,"","22:30",-171590601.982276,0.237600876635527,"","10:00",-57444763.1669219,0.0781399142037434,""
"2","sig*1.5",-241704749.918832,0.526068606405446,"","13:33",-236058476.095593,0.322200807410232,"","14:30",-221125619.55676,0.308644622801192,"","09:30",-142635406.495921,0.216145203737284,"","10:00",-162722423.618464,0.231664691756163,"","09:00",-137959786.454504,0.181548120867995,"","10:33",-78472426.1579627,0.11593109855877,"","22:30",-78786230.0899826,0.109923612896851,"","sig*1.5",-120038918.735418,0.261460498603036,"","23:00",-99608987.4504372,0.143555569727868,"","14:30",-73635295.223341,0.099601804900703,"","14:00",-86955795.4480004,0.117411906363797,"","23:30",-91239371.7736709,0.127151545443462,"","22:30",-84522932.5711713,0.115972197044803,"","22:00",-100780870.704662,0.141183136758298,"","22:30",-92931462.4553322,0.125061010820078,"","09:30",-112221690.711438,0.157413910880622,"","23:00",-128443182.999269,0.174152385232072,"","sig*1",-189524008.450881,0.324318213254445,"","14:30",-119172415.712437,0.162595843276793,"","22:30",-127392800.811906,0.176519910729536,"","14:00",-131578462.62813,0.187483596880004,"","09:30",-149609447.86414,0.204183878007057,"","14:30",-119172415.712437,0.162595843276793,"","22:30",-134861760.729933,0.178720096776362,"","14:30",-171564748.533117,0.234780824278735,"","sig*1",-181963558.172749,0.293318506055144,"","21:30",-173022675.609463,0.238750393381838,"","14:30",-79898926.5038715,0.244137730487234,"","sig*1.5",-83529517.122531,0.210813230251863,"","10:33",-58054875.5334558,0.078714697446691,"","11:00",-191145479.885954,0.255155539651546,"","21:30",-173022675.609463,0.238750393381838,"","21:30",-173022675.609463,0.238750393381838,"","sig*1.5",-83529517.122531,0.210813230251863,"","21:30",-173022675.609463,0.238750393381838,"","10:33",-58054875.5334558,0.078714697446691,""
"3","sig*1",-242200088.996318,0.383190579658593,"","14:30",-236204727.465859,0.327357035904141,"","09:30",-221455640.713165,0.311448717698006,"","11:00",-142868345.839152,0.215969606513974,"","10:33",-163968393.051203,0.229352130972462,"","10:33",-138360557.493389,0.185043826453761,"","10:00",-78567499.0442672,0.115495791066441,"","21:30",-79064670.4601552,0.109189651737933,"","14:30",-121269147.925384,0.169353771549565,"","09:00",-99700202.1851221,0.14509193832399,"","10:00",-73686742.4531224,0.0997167620445189,"","09:30",-87083690.0824772,0.11818750289203,"","22:30",-91622643.7805719,0.127320047757356,"","13:33",-85530132.4000941,0.118129333644132,"","23:00",-101803058.253752,0.143315367836495,"","23:30",-93224324.0808057,0.126472139152665,"","10:33",-112402180.509843,0.156434036538883,"","23:30",-129581326.856552,0.175953527725359,"","sig*1.5",-192888942.523897,0.442102100509596,"","11:30",-120329559.744801,0.164417212769815,"","09:00",-127851132.754993,0.179764055770784,"","13:33",-133155544.610569,0.188999490061054,"","11:30",-149692693.083063,0.205145266703284,"","11:30",-120329559.744801,0.164417212769815,"","23:30",-135913561.157744,0.18184492027864,"","22:30",-173128236.408979,0.237192567572981,"","22:30",-183488113.488779,0.254337315324639,"","23:30",-174012187.995118,0.242456200973765,"","14:00",-80136652.0076368,0.245579160456446,"","09:30",-83692175.7773607,0.122259673927996,"","11:00",-58091851.7208621,0.0784191115493483,"","13:33",-191786776.707208,0.253878417827877,"","23:30",-174012187.995118,0.242456200973765,"","23:30",-174012187.995118,0.242456200973765,"","09:30",-83692175.7773607,0.122259673927996,"","23:30",-174012187.995118,0.242456200973765,"","11:00",-58091851.7208621,0.0784191115493483,""
"4","11:30",-243595574.8649,0.334709048141041,"","14:00",-237515520.032118,0.325308126972497,"","11:30",-221762346.544122,0.309037820578325,"","14:30",-143526604.185995,0.211700732110908,"","11:00",-165041633.021973,0.230854442413717,"","22:30",-138977492.944242,0.180727841774539,"","09:30",-78639079.1223968,0.115360937075335,"","23:00",-79638338.5284711,0.111019793210117,"","11:00",-122902570.669597,0.172273932037024,"","22:30",-100739545.228795,0.144195720471906,"","sig*2",-73697169.5577376,0.199655575703453,"","10:00",-88101840.1722822,0.119546091268501,"","22:00",-91626732.7510574,0.128516575523789,"","23:30",-86022139.4780445,0.118154028359577,"","21:30",-101978940.917245,0.142647455228516,"","22:00",-94290757.2270501,0.127197970734448,"","10:00",-113209554.9236,0.157256085492369,"","sig*2",-130020718.150792,0.355076865359029,"","09:00",-194813880.642216,0.272154414498661,"","sig*2",-120648048.541965,0.319487849713034,"","15:00",-128146362.709194,0.177278466740611,"","10:33",-133929643.730008,0.189429149222991,"","10:33",-149838477.538924,0.205580042836784,"","sig*2",-120648048.541965,0.319487849713034,"","22:00",-136944870.308891,0.182234545503739,"","sig*1",-173995487.097174,0.261796898575642,"","14:30",-183556022.07392,0.25224077131156,"","23:00",-174096193.939706,0.242463103855801,"","11:30",-80704371.2835181,0.251207476458852,"","sig*1",-83714602.0468365,0.154299546840257,"","sig*1",-58451631.1125415,0.0953722994969164,"","11:30",-192335528.803833,0.254455031767523,"","23:00",-174096193.939706,0.242463103855801,"","23:00",-174096193.939706,0.242463103855801,"","sig*1",-83714602.0468365,0.154299546840257,"","23:00",-174096193.939706,0.242463103855801,"","sig*1",-58451631.1125415,0.0953722994969164,""
"5","14:30",-243718203.974608,0.337362078668957,"","10:33",-237995233.586002,0.329567769208623,"","13:33",-223393254.927261,0.31062877490925,"","11:30",-143754811.72641,0.216830205221626,"","14:00",-166354525.453808,0.234129119834504,"","23:30",-139022728.837419,0.182690169742359,"","11:00",-78970166.5081212,0.115888389265089,"","23:30",-81641719.0218004,0.11496464001196,"","14:00",-123161161.066531,0.171677631484056,"","09:30",-101570588.809379,0.14790457842797,"","09:30",-73967980.4992342,0.100429996563539,"","22:00",-88626740.0376378,0.118448018165728,"","14:30",-91955516.5101556,0.129214900677635,"","22:00",-86082190.9794176,0.119559522837716,"","13:33",-102756954.584199,0.14199777105542,"","09:00",-94424121.8546712,0.130131917465958,"","23:30",-113420080.419996,0.156197194815043,"","09:00",-130086505.802091,0.176969367267804,"","23:00",-195380027.404646,0.273844347645559,"","14:00",-120651693.1346,0.165690215847742,"","23:30",-128473611.080389,0.180225330507885,"","11:00",-134427710.00997,0.19224514346673,"","21:30",-149972191.239654,0.203450661924847,"","14:00",-120651693.1346,0.165690215847742,"","09:00",-137165855.023301,0.184357991369551,"","23:00",-174906753.998337,0.238519981930236,"","13:33",-184092825.904276,0.2542921750769,"","22:00",-174387816.025442,0.241143385234137,"","sig*1.5",-81258715.0251459,0.368949160199885,"","10:33",-83844395.4988985,0.121485769761065,"","09:30",-58494883.335851,0.0793501491476302,"","10:00",-193723728.696664,0.258626726458928,"","22:00",-174387816.025442,0.241143385234137,"","22:00",-174387816.025442,0.241143385234137,"","10:33",-83844395.4988985,0.121485769761065,"","22:00",-174387816.025442,0.241143385234137,"","09:30",-58494883.335851,0.0793501491476302,""
"6","10:33",-244253408.752378,0.334372872191501,"","sig*1",-238155190.217625,0.379211739764027,"","10:33",-224822409.055204,0.315943804582908,"","10:33",-144555306.518433,0.219286139756316,"","14:30",-166986371.433201,0.236316393840693,"","23:00",-139135983.875809,0.181032863762944,"","23:00",-80084875.6155846,0.11692674456775,"","09:00",-81726453.7314727,0.115391924343275,"","10:00",-123296930.13813,0.173313384757389,"","22:00",-102142661.732094,0.145358513527504,"","sig*1.5",-74750720.0411534,0.164914580285831,"","23:30",-88849654.2374347,0.118917722334481,"","13:33",-92432521.3529574,0.128777739355459,"","11:30",-86711143.7739352,0.119601504111406,"","23:30",-103481667.022372,0.145389655554418,"","21:30",-96646547.6279207,0.13034611109169,"","22:30",-113813247.268074,0.156152714804252,"","10:33",-130503509.792289,0.178984869038919,"","23:30",-195494372.960168,0.274047283407009,"","11:00",-120753035.895736,0.165997454684597,"","21:30",-129051393.93837,0.180018362036136,"","sig*1",-134518677.515429,0.219053546826563,"","22:00",-149972807.340799,0.203298292401678,"","11:00",-120753035.895736,0.165997454684597,"","21:30",-139573651.813495,0.185503500949819,"","13:33",-175242673.533391,0.240523383006118,"","11:30",-184378212.32166,0.253535798680019,"","09:00",-175047396.311972,0.243450469768512,"","13:33",-81512400.2878954,0.253218826288326,"","13:33",-84676579.0395818,0.121063841824879,"","14:30",-58616484.753172,0.0786546211558254,"","sig*2",-194436915.200944,0.481505816573777,"","09:00",-175047396.311972,0.243450469768512,"","09:00",-175047396.311972,0.243450469768512,"","13:33",-84676579.0395818,0.121063841824879,"","09:00",-175047396.311972,0.243450469768512,"","14:30",-58616484.753172,0.0786546211558254,""
"7","14:00",-244383843.563755,0.33738381848159,"","09:30",-238672171.907765,0.329870815731767,"","10:00",-226069886.098284,0.318586874497029,"","10:00",-144625371.708953,0.219510206664599,"","11:30",-167222207.506164,0.234886466775744,"","sig*1",-139616586.406974,0.213736513983216,"","23:30",-80139523.1389042,0.117790299437166,"","14:30",-83741128.9556216,0.118606292385914,"","sig*1",-123702882.431748,0.194019080281288,"","sig*2",-102626046.710497,0.294521090342603,"","10:33",-75386261.8326934,0.101967240651229,"","23:00",-88852852.4892213,0.118940572465536,"","10:00",-93330658.1576564,0.131985780470483,"","14:30",-86824278.8496409,0.120095550216782,"","11:30",-103956610.115934,0.144777760513175,"","21:03",-98777717.6331005,0.132932694783756,"","11:00",-114256847.831754,0.160063686646113,"","sig*1",-130874730.12099,0.214811121202652,"","22:30",-196144089.15452,0.273473566262654,"","22:00",-121156568.81596,0.164134579271755,"","22:00",-129101581.783931,0.180450270822642,"","11:30",-134693899.723326,0.191018389943173,"","13:33",-150217475.44582,0.206361154146463,"","22:00",-121156568.81596,0.164134579271755,"","10:00",-140758087.718212,0.188753218927672,"","10:33",-175340295.852426,0.240650776827427,"","10:33",-184611653.953473,0.254402644844187,"","14:30",-176731520.214841,0.244152850720812,"","10:33",-82946779.8653507,0.256174125486485,"","11:00",-84723119.8434235,0.122545999734665,"","23:30",-58876241.9073015,0.0789492587032056,"","09:00",-194920982.018775,0.257314731937431,"","14:30",-176731520.214841,0.244152850720812,"","14:30",-176731520.214841,0.244152850720812,"","11:00",-84723119.8434235,0.122545999734665,"","14:30",-176731520.214841,0.244152850720812,"","23:30",-58876241.9073015,0.0789492587032056,""
"8","13:33",-244943605.210383,0.337195832088986,"","sig*1.5",-239350189.439012,0.51939556346381,"","11:00",-226412649.022295,0.317397137982824,"","15:00",-145746353.153373,0.215957125911708,"","21:03",-168083083.746015,0.237155294431242,"","10:00",-139824686.873994,0.187270514536446,"","22:30",-80193783.3996732,0.117294269137952,"","sig*1.5",-84265592.6161073,0.186557366419547,"","11:30",-124564124.142555,0.173406858669247,"","10:33",-103524140.120973,0.150747639775597,"","22:00",-75661922.3523914,0.102327975218295,"","21:30",-88909310.4435056,0.118925510892483,"","11:30",-93461675.6232862,0.129541593435914,"","21:30",-87024074.2362808,0.119956574484115,"","21:03",-104237039.797071,0.145647750761557,"","sig*2",-98933091.7075251,0.254521314780472,"","22:00",-114964787.644614,0.158763611161157,"","22:30",-132055605.754671,0.178830831479163,"","14:00",-196981236.45698,0.277187514211229,"","22:30",-121318785.70228,0.164524161028733,"","14:30",-129678336.090686,0.181340818689615,"","sig*1.5",-134737534.068975,0.298939621949684,"","14:00",-150366941.301987,0.205618564854171,"","22:30",-121318785.70228,0.164524161028733,"","sig*1.5",-142267198.015773,0.309411288646518,"","14:00",-175620892.232907,0.241305578823379,"","11:00",-185274886.698711,0.255322971844458,"","sig*1.5",-176998700.761257,0.396397079609122,"","sig*2",-83023853.3657594,0.43295451686457,"","10:00",-84794281.5456511,0.122643312087307,"","22:30",-59094518.8398204,0.0794878474562324,"","sig*1.5",-195006756.888726,0.393881727126853,"","sig*1.5",-176998700.761257,0.396397079609122,"","sig*1.5",-176998700.761257,0.396397079609122,"","10:00",-84794281.5456511,0.122643312087307,"","sig*1.5",-176998700.761257,0.396397079609122,"","22:30",-59094518.8398204,0.0794878474562324,""
